epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7983,0.91147,4.89547,0.0173,0.43451,0.13413,0.12259,0.069,1.33993,7.78371,0.03935,0.000331096,0.000331096,0.000331096
2,52.4059,0.966,3.61451,0.01852,0.58612,0.30766,0.28989,0.17853,1.19801,4.98337,0.03306,0.000657852,0.000657852,0.000657852
3,70.0956,0.99181,2.85028,0.0194,0.60327,0.3357,0.32404,0.18642,1.31572,3.72643,0.03683,0.000978007,0.000978007,0.000978007
4,87.4156,0.9933,2.38953,0.01894,0.61667,0.33011,0.32774,0.17914,1.36414,2.99396,0.04025,0.0009703,0.0009703,0.0009703
5,104.419,0.98233,2.10768,0.01871,0.65672,0.36143,0.38591,0.23872,1.2727,2.36292,0.03548,0.0009604,0.0009604,0.0009604
6,121.642,0.98019,1.93693,0.01845,0.64212,0.39003,0.40253,0.24594,1.35528,2.25055,0.03843,0.0009505,0.0009505,0.0009505
7,138.523,0.96643,1.87169,0.01772,0.65983,0.3876,0.40384,0.25347,1.26326,2.00325,0.03497,0.0009406,0.0009406,0.0009406
8,156.343,0.96198,1.78508,0.01803,0.66763,0.40773,0.41621,0.26369,1.15561,1.97133,0.02969,0.0009307,0.0009307,0.0009307
9,173.136,0.96017,1.75611,0.01801,0.65925,0.42772,0.43831,0.27427,1.25209,1.9792,0.03399,0.0009208,0.0009208,0.0009208
10,190.531,0.93782,1.66429,0.01768,0.72,0.4231,0.46184,0.29966,1.15529,1.74952,0.03067,0.0009109,0.0009109,0.0009109
11,207.384,0.91978,1.62748,0.01689,0.69865,0.41242,0.46057,0.29056,1.26882,1.7229,0.03592,0.000901,0.000901,0.000901
12,224.408,0.91825,1.591,0.0174,0.72794,0.42202,0.47688,0.2991,1.18608,1.697,0.03083,0.0008911,0.0008911,0.0008911
13,242.137,0.91745,1.5188,0.01666,0.72064,0.40965,0.46781,0.30343,1.19845,1.70712,0.03165,0.0008812,0.0008812,0.0008812
14,259.022,0.8939,1.52499,0.01695,0.69484,0.44284,0.4708,0.31134,1.17529,1.69722,0.03122,0.0008713,0.0008713,0.0008713
15,276.886,0.88456,1.47872,0.01645,0.72919,0.44235,0.5021,0.31291,1.18205,1.67261,0.03108,0.0008614,0.0008614,0.0008614
16,293.86,0.90167,1.49723,0.01644,0.48693,0.50676,0.50801,0.32434,1.16365,1.56742,0.03026,0.0008515,0.0008515,0.0008515
17,311.08,0.87994,1.42332,0.01622,0.74459,0.42465,0.47971,0.31148,1.186,1.69865,0.03124,0.0008416,0.0008416,0.0008416
18,328.246,0.89666,1.43547,0.01616,0.66404,0.44028,0.50401,0.32446,1.1615,1.66997,0.03019,0.0008317,0.0008317,0.0008317
19,345.185,0.88803,1.41878,0.01622,0.69614,0.5197,0.56635,0.37247,1.15051,1.47627,0.02982,0.0008218,0.0008218,0.0008218
20,363.298,0.88848,1.40392,0.01641,0.67873,0.46518,0.53633,0.35923,1.12701,1.52385,0.02862,0.0008119,0.0008119,0.0008119
21,380.234,0.89258,1.35304,0.01606,0.78904,0.47113,0.56159,0.3764,1.12125,1.53809,0.02883,0.000802,0.000802,0.000802
22,397.971,0.87699,1.35192,0.01585,0.58125,0.46879,0.5507,0.34549,1.17097,1.48349,0.03,0.0007921,0.0007921,0.0007921
